Team,Player,NBA,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos,LaneAgilityTime,ShuttleRun,ThreeQuarterSprint,StandingVerticalLeap,MaxVerticalLeap,MaxBenchPress,BodyFat%,HandLength,HandWidth,HeightNoShoes,HeightShoes,StandingReach,Weight,Wingspan,PID,Pk,DraftTeam,RkYear,HeightShoesC,HeightNoShoesC,StandingReachC,WingspanC
indiana,Kirk Haston,1,33,28,30.8,7.4,16.7,0.44,6.6,14.6,0.449,0.8,2.1,0.377,3.5,5,0.687,2.4,6.3,8.7,1.2,1.1,1.2,2.4,2.8,19,0,,0,,0,,0,,0,,0,,0,,0,hastoki01,16,CHH,2001,0,,0,
iowa-state,Jamaal Tinsley,1,31,31,32.2,4.5,11.2,0.399,3.3,8.1,0.406,1.2,3.1,0.381,4.1,6,0.692,0.6,3.2,3.8,6,2.5,0.6,3.8,3,14.3,PG,11.96,0,3.20,28.0,37.5,1,0,,0,,0,,0,,tinslja01,27,MEM,2001,0,,0,
maryland,Terence Morris,1,36,36,27.6,4.4,10.2,0.432,3.7,7.7,0.478,0.7,2.5,0.289,2.7,3.4,0.795,2.5,5.2,7.7,1.9,0.9,2.2,1.8,2.6,12.2,0,,0,,0,,0,,0,,0,,0,,0,morrite01,34,ATL,2001,0,,0,
michigan-state,Jason Richardson,1,33,32,28.5,5.5,11,0.503,4,7.3,0.554,1.5,3.7,0.402,2.2,3.2,0.689,1.8,4.1,5.9,2.2,1.2,0.8,1.3,2.2,14.7,0,,0,,0,,0,,0,,0,,0,,0,richaja01,5,GSW,2001,0,,0,
notre-dame,Troy Murphy,1,30,29,36.3,7.4,15.8,0.471,6.4,12.9,0.499,1,2.9,0.349,5.9,7.7,0.766,3.1,6.1,9.2,2.1,0.9,1.7,3,3.2,21.8,PF,11.22,0,3.43,28.5,34.5,11,0,,0,,0,,0,,murphtr01,14,GSW,2001,0,,0,
ohio-state,Ken Johnson,1,31,31,29.5,4.7,8.1,0.578,4.7,8.1,0.578,0,0,0,3.1,4.4,0.711,2,5.3,7.3,0.8,0.4,4,2.4,2.6,12.5,C,11.27,0,3.12,32.5,35.0,13,0,,0,,0,,0,,johnske03,49,MIA,2001,0,,0,
pepperdine,Brandon Armstrong,1,31,30,33.1,7.7,17.3,0.447,5.3,10.9,0.484,2.5,6.4,0.384,4.1,5,0.826,1.2,2.1,3.3,1.5,1.5,0.2,2.1,2.7,22.1,SG,10.91,0,3.20,30.0,37.0,6,0,,0,,0,,0,,armstbr01,23,HOU,2001,0,,0,
seton-hall,Samuel Dalembert,1,29,27,21.4,3.4,6.1,0.565,3.4,6.1,0.565,0,0,0,1.4,2.5,0.556,1.7,4,5.7,0.3,0.5,2.1,1.9,3.3,8.3,0,,0,,0,,0,,0,,0,,0,,0,dalemsa01,26,PHI,2001,0,,0,
southern-methodist,Jeryl Sasser,1,29,28,34.9,5.9,14.9,0.394,4.7,10.7,0.437,1.2,4.2,0.287,4,5.6,0.718,3.5,4.9,8.3,0.8,1.4,0.6,2.1,2.1,17,0,,0,,0,,0,,0,,0,,0,,0,sasseje01,22,ORL,2001,0,,0,
syracuse,Damone Brown,1,34,34,36.5,6.3,12.9,0.492,6.2,12.4,0.499,0.1,0.4,0.286,3.7,4.6,0.791,3.2,5.6,8.8,1.6,1.7,1.4,2,2.7,16.4,SF,11.81,0,3.27,32.0,37.0,6,0,,0,,0,,0,,brownda02,37,PHI,2001,0,,0,
alabama,Gerald Wallace,1,36,2,22.9,3.5,8,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,2.3,3.7,6,1.5,1.2,1,2.4,2.4,9.8,0,,0,,0,,0,,0,,0,,0,,0,wallage01,25,SAC,2001,0,,0,
